		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111100110  262  273  236  250  288  213  251  261 15.742974 0.046210 SUCCESS 135
111101000  244  248  256  236  257  241  257  248  1.880832 0.984450 SUCCESS 136
111101010  262  242  221  239  243  250  248  253  5.091822 0.747718 SUCCESS 137
111101100  258  237  270  263  267  238  233  253  6.345059 0.608640 SUCCESS 138
111101110  249  254  243  260  250  250  246  257  0.956905 0.998506 SUCCESS 139
111110000  235  228  247  224  249  259  250  230  7.751636 0.458099 SUCCESS 140
111110010  224  250  268  242  227  235  249  242  7.782537 0.454996 SUCCESS 141
111110100  249  246  241  269  224  245  256  269  6.441770 0.597874 SUCCESS 142
111110110  257  246  252  262  232  248  255  238  2.936251 0.938294 SUCCESS 143
111111000  259  248  247  231  229  261  247  248  4.257624 0.833164 SUCCESS 144
111111010  236  251  218  265  236  259  279  260 11.022489 0.200428 SUCCESS 145
111111100  282  257  241  212  255  270  256  248 12.675499 0.123513 SUCCESS 146
111111110  281  250  242  250  245  266  279  241  9.225059 0.323668 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  232  225  261  255  227  243  259  255  7.354836 0.498877 SUCCESS   0
000000011  247  235  242  275  257  228  256  268  7.514513 0.482269 SUCCESS   1
000000101  214  241  279  253  229  253  227  251 13.261713 0.103157 SUCCESS   2
000000111  248  252  238  252  253  240  261  251  1.600525 0.990910 SUCCESS   3
000001001  234  249  247  264  238  255  236  236  4.227240 0.836061 SUCCESS   4
000001011  240  240  260  238  231  234  255  253  4.524097 0.807017 SUCCESS   5
000001101  250  235  251  264  245  247  252  253  1.940048 0.982795 SUCCESS   6
000001111  242  237  219  269  271  244  270  239 10.561560 0.227800 SUCCESS   7
000010001  269  241  244  237  258  248  262  232  4.893358 0.768911 SUCCESS   8
000010011  246  237  248  257  244  244  245  242  1.646036 0.990009 SUCCESS   9
000010101  249  247  248  245  247  245  202  271 11.653180 0.167362 SUCCESS  10
000010111  236  261  255  226  247  245  235  233  6.057382 0.640804 SUCCESS  11
000011001  260  256  252  267  232  268  296  256 13.370836 0.099711 SUCCESS  12
000011011  263  268  253  244  248  247  207  237 10.624655 0.223887 SUCCESS  13
000011101  287  241  271  262  257  251  236  247  9.481317 0.303332 SUCCESS  14
000011111  225  243  224  264  240  250  249  248  6.823442 0.555796 SUCCESS  15
000100011  261  265  260  260  268  246  253  272  5.716436 0.678961 SUCCESS  16
000100101  237  257  238  248  252  257  210  245  8.449560 0.390831 SUCCESS  17
000100111  254  236  245  256  249  237  254  243  2.098432 0.977845 SUCCESS  18
000101001  235  211  252  235  261  238  278  245 12.609042 0.126028 SUCCESS  19
000101011  256  242  249  224  245  228  238  276  8.707887 0.367534 SUCCESS  20
000101101  230  247  264  276  241  264  254  245  6.618384 0.578308 SUCCESS  21
000101111  255  246  251  213  227  256  252  249  8.189552 0.415177 SUCCESS  22
000110011  217  245  268  266  241  245  269  259  9.277293 0.319447 SUCCESS  23
000110101  239  253  254  236  275  238  242  270  6.517277 0.589492 SUCCESS  24
000110111  273  275  244  252  239  261  248  256  6.112978 0.634578 SUCCESS  25
